id,name,type,source
concept_The_primary_objective_of_the_meeting_was_to_discuss_the_results_of_the_digit_recognition_experiments_conducted_using_the_SRI_and_HTK-based_systems,"The primary objective of the meeting was to discuss the results of the digit recognition experiments conducted using the SRI and HTK-based systems","concept","MISeD"
concept_The_participants_also_discussed_how_to_improve_the_performance_of_the_SRI_system_in_noisy_conditions_and_explored_methods_for_enhancing_the_accuracy_of_forced_alignment,"The participants also discussed how to improve the performance of the SRI system in noisy conditions and explored methods for enhancing the accuracy of forced alignment","concept","MISeD"
concept_The_participants_decided_to_conduct_a_test_to_determine_if_the_SRI_system_would_show_improvement_if_trained_on_TI_digits,_and_to_compare_the_results_to_the_system_trained_on_Switchboard_data,"The participants decided to conduct a test to determine if the SRI system would show improvement if trained on TI digits, and to compare the results to the system trained on Switchboard data","concept","MISeD"
concept_They_also_agreed_to_investigate_methods_for_improving_the_SRI_system's_performance_in_noisy_conditions_and_to_explore_techniques_for_enhancing_the_accuracy_of_forced_alignment,"They also agreed to investigate methods for improving the SRI system's performance in noisy conditions and to explore techniques for enhancing the accuracy of forced alignment","concept","MISeD"
speaker_The_Chair_(Hon._Anthony_Rota_(NipissingTimiskaming,_Lib.)),"The Chair (Hon. Anthony Rota (NipissingTimiskaming, Lib.))","person","MISeD"
speaker_Mr._Garnett_Genuis_(Sherwood_ParkFort_Saskatchewan,_CPC),"Mr. Garnett Genuis (Sherwood ParkFort Saskatchewan, CPC)","person","MISeD"
speaker_The_Chair,"The Chair","person","MISeD"
speaker_Mr._Nathaniel_Erskine-Smith_(BeachesEast_York,_Lib.),"Mr. Nathaniel Erskine-Smith (BeachesEast York, Lib.)","person","MISeD"
speaker_Mr._Eric_Duncan_(StormontDundasSouth_Glengarry,_CPC),"Mr. Eric Duncan (StormontDundasSouth Glengarry, CPC)","person","MISeD"
speaker_Mr._Peter_Julian_(New_WestminsterBurnaby,_NDP),"Mr. Peter Julian (New WestminsterBurnaby, NDP)","person","MISeD"
speaker_Mr._Gord_Johns_(CourtenayAlberni,_NDP),"Mr. Gord Johns (CourtenayAlberni, NDP)","person","MISeD"
speaker_Mr._Brad_Vis_(MissionMatsquiFraser_Canyon,_CPC),"Mr. Brad Vis (MissionMatsquiFraser Canyon, CPC)","person","MISeD"
speaker_Mr._Pierre_Paul-Hus_(CharlesbourgHaute-Saint-Charles,_CPC),"Mr. Pierre Paul-Hus (CharlesbourgHaute-Saint-Charles, CPC)","person","MISeD"
speaker_Right_Hon._Justin_Trudeau_(Prime_Minister),"Right Hon. Justin Trudeau (Prime Minister)","person","MISeD"
speaker_Mr._Pierre_Paul-Hus,"Mr. Pierre Paul-Hus","person","MISeD"
speaker_Right_Hon._Justin_Trudeau,"Right Hon. Justin Trudeau","person","MISeD"
speaker_Mr._Yves-Franois_Blanchet_(BeloeilChambly,_BQ),"Mr. Yves-Franois Blanchet (BeloeilChambly, BQ)","person","MISeD"
speaker_Mr._Yves-Franois_Blanchet,"Mr. Yves-Franois Blanchet","person","MISeD"
speaker_Ms._Laurel_Collins_(Victoria,_NDP),"Ms. Laurel Collins (Victoria, NDP)","person","MISeD"
speaker_Ms._Laurel_Collins,"Ms. Laurel Collins","person","MISeD"
speaker_Mr._Jol_Godin_(PortneufJacques-Cartier,_CPC),"Mr. Jol Godin (PortneufJacques-Cartier, CPC)","person","MISeD"
speaker_Mr._Jol_Godin,"Mr. Jol Godin","person","MISeD"
speaker_Hon._Andrew_Scheer_(Leader_of_the_Opposition),"Hon. Andrew Scheer (Leader of the Opposition)","person","MISeD"
speaker_Hon._Andrew_Scheer,"Hon. Andrew Scheer","person","MISeD"
speaker_Ms._Marilyn_Gladu_(SarniaLambton,_CPC),"Ms. Marilyn Gladu (SarniaLambton, CPC)","person","MISeD"
speaker_Hon._Deb_Schulte_(Minister_of_Seniors),"Hon. Deb Schulte (Minister of Seniors)","person","MISeD"
speaker_Ms._Marilyn_Gladu,"Ms. Marilyn Gladu","person","MISeD"
speaker_Hon._Bill_Blair_(Minister_of_Public_Safety_and_Emergency_Preparedness),"Hon. Bill Blair (Minister of Public Safety and Emergency Preparedness)","person","MISeD"
speaker_Hon._Bill_Morneau_(Minister_of_Finance),"Hon. Bill Morneau (Minister of Finance)","person","MISeD"
speaker_Mr._Mel_Arnold_(North_OkanaganShuswap,_CPC),"Mr. Mel Arnold (North OkanaganShuswap, CPC)","person","MISeD"
speaker_Mr._Mel_Arnold,"Mr. Mel Arnold","person","MISeD"
speaker_Hon._Bernadette_Jordan_(Minister_of_Fisheries,_Oceans_and_the_Canadian_Coast_Guard),"Hon. Bernadette Jordan (Minister of Fisheries, Oceans and the Canadian Coast Guard)","person","MISeD"
speaker_Hon._Bernadette_Jordan,"Hon. Bernadette Jordan","person","MISeD"
speaker_Hon._Carla_Qualtrough_(Minister_of_Employment,_Workforce_Development_and_Disability_Inclusion),"Hon. Carla Qualtrough (Minister of Employment, Workforce Development and Disability Inclusion)","person","MISeD"
speaker_Hon._Michelle_Rempel_Garner_(Calgary_Nose_Hill,_CPC),"Hon. Michelle Rempel Garner (Calgary Nose Hill, CPC)","person","MISeD"
speaker_Hon._Michelle_Rempel_Garner,"Hon. Michelle Rempel Garner","person","MISeD"
speaker_Ms._Rachael_Harder_(Lethbridge,_CPC),"Ms. Rachael Harder (Lethbridge, CPC)","person","MISeD"
speaker_Hon._Bill_Blair,"Hon. Bill Blair","person","MISeD"
speaker_Ms._Rachael_Harder,"Ms. Rachael Harder","person","MISeD"
speaker_Hon._Chrystia_Freeland_(Deputy_Prime_Minister_and_Minister_of_Intergovernmental_Affairs),"Hon. Chrystia Freeland (Deputy Prime Minister and Minister of Intergovernmental Affairs)","person","MISeD"
speaker_Hon._Chrystia_Freeland,"Hon. Chrystia Freeland","person","MISeD"
speaker_Mr._James_Bezan_(SelkirkInterlakeEastman,_CPC),"Mr. James Bezan (SelkirkInterlakeEastman, CPC)","person","MISeD"
speaker_Hon._Harjit_S._Sajjan_(Minister_of_National_Defence),"Hon. Harjit S. Sajjan (Minister of National Defence)","person","MISeD"
speaker_Mr._James_Bezan,"Mr. James Bezan","person","MISeD"
speaker_Hon._Harjit_S._Sajjan,"Hon. Harjit S. Sajjan","person","MISeD"
speaker_Mr._Gabriel_Ste-Marie_(Joliette,_BQ),"Mr. Gabriel Ste-Marie (Joliette, BQ)","person","MISeD"
speaker_Mr._Gabriel_Ste-Marie,"Mr. Gabriel Ste-Marie","person","MISeD"
speaker_Hon._Diane_Lebouthillier_(Minister_of_National_Revenue),"Hon. Diane Lebouthillier (Minister of National Revenue)","person","MISeD"
speaker_Hon._Diane_Lebouthillier,"Hon. Diane Lebouthillier","person","MISeD"
speaker_Mr._Churence_Rogers_(BonavistaBurinTrinity,_Lib.),"Mr. Churence Rogers (BonavistaBurinTrinity, Lib.)","person","MISeD"
speaker_Mr._Sukh_Dhaliwal_(SurreyNewton,_Lib.),"Mr. Sukh Dhaliwal (SurreyNewton, Lib.)","person","MISeD"
speaker_Mr._Damien_Kurek_(Battle_RiverCrowfoot,_CPC),"Mr. Damien Kurek (Battle RiverCrowfoot, CPC)","person","MISeD"
speaker_Mr._Sukh_Dhaliwal,"Mr. Sukh Dhaliwal","person","MISeD"
speaker_Ms._Heather_McPherson_(Edmonton_Strathcona,_NDP),"Ms. Heather McPherson (Edmonton Strathcona, NDP)","person","MISeD"
speaker_Ms._Heather_McPherson,"Ms. Heather McPherson","person","MISeD"
speaker_Mr._Richard_Bragdon_(TobiqueMactaquac,_CPC),"Mr. Richard Bragdon (TobiqueMactaquac, CPC)","person","MISeD"
speaker_Mr._Richard_Bragdon,"Mr. Richard Bragdon","person","MISeD"
speaker_Mrs._Cathay_Wagantall_(YorktonMelville,_CPC),"Mrs. Cathay Wagantall (YorktonMelville, CPC)","person","MISeD"
speaker_Hon._Carla_Qualtrough,"Hon. Carla Qualtrough","person","MISeD"
speaker_Mrs._Cathay_Wagantall,"Mrs. Cathay Wagantall","person","MISeD"
speaker_Mr._Richard_Lehoux_(Beauce,_CPC),"Mr. Richard Lehoux (Beauce, CPC)","person","MISeD"
speaker_Mrs._Claude_DeBellefeuille_(SalaberrySurot,_BQ),"Mrs. Claude DeBellefeuille (SalaberrySurot, BQ)","person","MISeD"
speaker_Mrs._Claude_DeBellefeuille,"Mrs. Claude DeBellefeuille","person","MISeD"
speaker_Mr._Richard_Lehoux,"Mr. Richard Lehoux","person","MISeD"
speaker_The_Acting_Chair_(Mrs._Alexandra_Mends_(BrossardSaint-Lambert,_Lib.)),"The Acting Chair (Mrs. Alexandra Mends (BrossardSaint-Lambert, Lib.))","person","MISeD"
speaker_Mr._Blaine_Calkins_(Red_DeerLacombe,_CPC),"Mr. Blaine Calkins (Red DeerLacombe, CPC)","person","MISeD"
speaker_Mr._Blaine_Calkins,"Mr. Blaine Calkins","person","MISeD"
speaker_The_Acting_Chair_(Mrs._Alexandra_Mends),"The Acting Chair (Mrs. Alexandra Mends)","person","MISeD"
speaker_Mr._Paul_Manly_(NanaimoLadysmith,_GP),"Mr. Paul Manly (NanaimoLadysmith, GP)","person","MISeD"
speaker_Hon._Patty_Hajdu_(Minister_of_Health),"Hon. Patty Hajdu (Minister of Health)","person","MISeD"
speaker_Mr._Paul_Manly,"Mr. Paul Manly","person","MISeD"
speaker_Hon._Deb_Schulte,"Hon. Deb Schulte","person","MISeD"
speaker_Hon._Mary_Ng_(Minister_of_Small_Business,_Export_Promotion_and_International_Trade),"Hon. Mary Ng (Minister of Small Business, Export Promotion and International Trade)","person","MISeD"
speaker_Hon._Jonathan_Wilkinson_(Minister_of_Environment_and_Climate_Change),"Hon. Jonathan Wilkinson (Minister of Environment and Climate Change)","person","MISeD"
speaker_Ms._Niki_Ashton_(ChurchillKeewatinook_Aski,_NDP),"Ms. Niki Ashton (ChurchillKeewatinook Aski, NDP)","person","MISeD"
speaker_Hon._Marc_Miller_(Minister_of_Indigenous_Services),"Hon. Marc Miller (Minister of Indigenous Services)","person","MISeD"
speaker_Ms._Niki_Ashton,"Ms. Niki Ashton","person","MISeD"
speaker_Hon._Marc_Miller,"Hon. Marc Miller","person","MISeD"
speaker_Hon._Bill_Morneau,"Hon. Bill Morneau","person","MISeD"
speaker_Mr._Damien_Kurek,"Mr. Damien Kurek","person","MISeD"
speaker_Mr._Blake_Richards_(BanffAirdrie,_CPC),"Mr. Blake Richards (BanffAirdrie, CPC)","person","MISeD"
speaker_Hon._Mlanie_Joly_(Minister_of_Economic_Development_and_Official_Languages),"Hon. Mlanie Joly (Minister of Economic Development and Official Languages)","person","MISeD"
speaker_Mr._Blake_Richards,"Mr. Blake Richards","person","MISeD"
speaker_Hon._Mlanie_Joly,"Hon. Mlanie Joly","person","MISeD"
speaker_Hon._Seamus_O'Regan_(Minister_of_Natural_Resources),"Hon. Seamus O'Regan (Minister of Natural Resources)","person","MISeD"
speaker_Hon._Seamus_O'Regan,"Hon. Seamus O'Regan","person","MISeD"
topic_Which,"Which","topic","MISeD"
topic_Canada,"Canada","topic","MISeD"
topic_Child,"Child","topic","MISeD"
topic_Benefit,"Benefit","topic","MISeD"
topic_Minister,"Minister","topic","MISeD"
topic_Agriculture,"Agriculture","topic","MISeD"
topic_Canadian,"Canadian","topic","MISeD"
topic_Armed,"Armed","topic","MISeD"
topic_Forces,"Forces","topic","MISeD"
topic_Natural,"Natural","topic","MISeD"
topic_Resources,"Resources","topic","MISeD"
concept_The_Canadian_government_discussed_providing_economic_relief_to_sectors_affected_by_the_COVID-19_pandemic,_including_fisheries,_agriculture,_and_tourism,"The Canadian government discussed providing economic relief to sectors affected by the COVID-19 pandemic, including fisheries, agriculture, and tourism","concept","MISeD"
concept_The_government_announced_$62.5_million_in_support_for_the_fish_and_seafood_processing_sector,_$252_million_in_aid_for_the_agriculture_sector,_and_funding_for_tourism_businesses_through_regional_development_agencies,"The government announced $62.5 million in support for the fish and seafood processing sector, $252 million in aid for the agriculture sector, and funding for tourism businesses through regional development agencies","concept","MISeD"
concept_Concerns_were_raised_by_members_about_the_adequacy_of_the_proposed_aid_packages_and_the_eligibility_criteria_for_various_relief_programs,"Concerns were raised by members about the adequacy of the proposed aid packages and the eligibility criteria for various relief programs","concept","MISeD"
concept_Discussions_were_held_on_issues_such_as_the_need_to_support_seasonal_businesses,_preserve_Canadian_jobs,_and_prioritize_the_use_of_domestic_oil_over_imported_oil,"Discussions were held on issues such as the need to support seasonal businesses, preserve Canadian jobs, and prioritize the use of domestic oil over imported oil","concept","MISeD"
concept_There_was_no_resolution_reached_on_questions_related_to_tax_avoidance_in_tax_havens,_the_impact_of_the_pandemic_on_the_Canadian_Armed_Forces,_or_specific_measures_to_address_the_economic_losses_faced_by_potato_farmers,"There was no resolution reached on questions related to tax avoidance in tax havens, the impact of the pandemic on the Canadian Armed Forces, or specific measures to address the economic losses faced by potato farmers","concept","MISeD"
topic_Besides,"Besides","topic","MISeD"
topic_Pension,"Pension","topic","MISeD"
topic_Plan,"Plan","topic","MISeD"
speaker_Project_Manager,"Project Manager","person","MISeD"
speaker_Industrial_Designer,"Industrial Designer","person","MISeD"
speaker_User_Interface,"User Interface","person","MISeD"
speaker_Marketing,"Marketing","person","MISeD"
topic_Euros,"Euros","topic","MISeD"
topic_Were,"Were","topic","MISeD"
topic_User,"User","topic","MISeD"
topic_Interface,"Interface","topic","MISeD"
speaker_Lynne_Neagle_AM,"Lynne Neagle AM","person","MISeD"
speaker_Suzy_Davies_AM,"Suzy Davies AM","person","MISeD"
speaker_Meilyr_Rowlands,"Meilyr Rowlands","person","MISeD"
speaker_Sian_Gwenllian_AM,"Sian Gwenllian AM","person","MISeD"
speaker_Claire_Morgan,"Claire Morgan","person","MISeD"
speaker_Jassa_Scott,"Jassa Scott","person","MISeD"
speaker_Janet_Finch-Saunders_AM,"Janet Finch-Saunders AM","person","MISeD"
speaker_Dawn_Bowden_AM,"Dawn Bowden AM","person","MISeD"
speaker_Hefin_David_AM,"Hefin David AM","person","MISeD"
topic_Meilyr,"Meilyr","topic","MISeD"
topic_Rowlands,"Rowlands","topic","MISeD"
concept_Frequent_changes_in_education_reform_can_have_risks,_but_the_process_has_been_ongoing_for_a_few_years_now,_and_they_have_seen_gradual_improvements_and_no_slippage,"Frequent changes in education reform can have risks, but the process has been ongoing for a few years now, and they have seen gradual improvements and no slippage","concept","MISeD"
concept_The_new_curriculum_being_introduced_in_primary_schools_in_its_entirety_and_in_phases_for_secondary_schools_will_help_to_address_concerns_about_differences_in_preparedness_between_the_two_school_types,"The new curriculum being introduced in primary schools in its entirety and in phases for secondary schools will help to address concerns about differences in preparedness between the two school types","concept","MISeD"
concept_A_long-term_solution_for_the_shortage_of_teachers_needs_to_be_found,_and_they_welcome_the_opportunity_to_work_with_the_Government_on_this_issue,"A long-term solution for the shortage of teachers needs to be found, and they welcome the opportunity to work with the Government on this issue","concept","MISeD"
concept_A_multi-agency_approach_for_supporting_schools_causing_concern_has_been_piloted_and_shows_promising_results,"A multi-agency approach for supporting schools causing concern has been piloted and shows promising results","concept","MISeD"
concept_Concerns_were_raised_about_the_funding_challenges_faced_by_secondary_schools_in_particular,_as_they_have_seen_a_decline_in_surpluses_and_reserves,_putting_pressure_on_their_budgets,"Concerns were raised about the funding challenges faced by secondary schools in particular, as they have seen a decline in surpluses and reserves, putting pressure on their budgets","concept","MISeD"
concept_Sufficient_funding_is_needed_to_offer_support_to_schools_that_are_struggling,_and_this_may_have_implications_for_the_allocation_of_additional_funding,"Sufficient funding is needed to offer support to schools that are struggling, and this may have implications for the allocation of additional funding","concept","MISeD"
concept_Financial_incentives_for_teachers_and_school_leaders_in_challenging_schools_or_subjects_could_be_considered_to_attract_and_retain_staff,"Financial incentives for teachers and school leaders in challenging schools or subjects could be considered to attract and retain staff","concept","MISeD"
concept_The_multi-agency_approach_for_supporting_schools_causing_concern_has_shown_promising_results_in_the_pilot_scheme,"The multi-agency approach for supporting schools causing concern has shown promising results in the pilot scheme","concept","MISeD"
concept_It_involves_a_collective_effort_from_different_agencies,_such_as_local_authorities,_consortia,_and_schools,_to_provide_support_to_these_schools,"It involves a collective effort from different agencies, such as local authorities, consortia, and schools, to provide support to these schools","concept","MISeD"
concept_This_collaborative_approach_ensures_that_schools_receive_comprehensive_and_coordinated_support_tailored_to_their_specific_needs,"This collaborative approach ensures that schools receive comprehensive and coordinated support tailored to their specific needs","concept","MISeD"
concept_Ensuring_that_all_agencies_involved_have_a_clear_understanding_of_their_roles_and_responsibilities_within_the_multi-agency_framework,"Ensuring that all agencies involved have a clear understanding of their roles and responsibilities within the multi-agency framework","concept","MISeD"
concept_Establishing_effective_mechanisms_for_communication_and_collaboration_among_the_different_agencies_to_ensure_a_coordinated_and_cohesive_approach,"Establishing effective mechanisms for communication and collaboration among the different agencies to ensure a coordinated and cohesive approach","concept","MISeD"
concept_Securing_sufficient_resources_to_provide_the_necessary_support_to_schools_in_need,_as_this_may_require_additional_funding_and_staffing,"Securing sufficient resources to provide the necessary support to schools in need, as this may require additional funding and staffing","concept","MISeD"
concept_Addressing_potential_resistance_or_reluctance_from_schools_to_engage_with_external_support_agencies,_as_they_may_feel_their_autonomy_is_being_undermined,"Addressing potential resistance or reluctance from schools to engage with external support agencies, as they may feel their autonomy is being undermined","concept","MISeD"
concept_Evaluating_the_effectiveness_of_the_multi-agency_approach_and_making_adjustments_as_needed_to_improve_its_impact_on_schools,"Evaluating the effectiveness of the multi-agency approach and making adjustments as needed to improve its impact on schools","concept","MISeD"
topic_Apart,"Apart","topic","MISeD"
concept_Factors_such_as_workload,_lack_of_resources,_and_limited_career_progression_opportunities_may_make_it_difficult_to_attract_and_retain_high-quality_teachers_and_leaders,"Factors such as workload, lack of resources, and limited career progression opportunities may make it difficult to attract and retain high-quality teachers and leaders","concept","MISeD"
concept_The_effectiveness_of_the_multi-agency_approach_may_vary_depending_on_the_local_context,_as_the_specific_challenges_and_needs_of_schools_can_differ_across_different_regions_and_communities,"The effectiveness of the multi-agency approach may vary depending on the local context, as the specific challenges and needs of schools can differ across different regions and communities","concept","MISeD"
topic_Why,"Why","topic","MISeD"
concept_The_participants_discussed_the_impact_of_varying_funding_levels_on_secondary_schools,_with_concerns_raised_about_those_in_deficit,"The participants discussed the impact of varying funding levels on secondary schools, with concerns raised about those in deficit","concept","MISeD"
concept_They_also_explored_potential_solutions_to_address_the_shortage_of_teachers_and_the_impact_of_curriculum_reform_on_school_preparedness,"They also explored potential solutions to address the shortage of teachers and the impact of curriculum reform on school preparedness","concept","MISeD"
concept_The_participants_further_examined_the_effectiveness_of_the_multi-agency_approach_in_supporting_schools_causing_concern_and_considered_the_need_for_additional_funding_to_enhance_its_impact,"The participants further examined the effectiveness of the multi-agency approach in supporting schools causing concern and considered the need for additional funding to enhance its impact","concept","MISeD"
concept_They_mentioned_that_secondary_schools_have_a_greater_challenge_in_terms_of_preparedness_for_the_new_curriculum_compared_to_primary_schools,"They mentioned that secondary schools have a greater challenge in terms of preparedness for the new curriculum compared to primary schools","concept","MISeD"
concept_They_also_highlighted_the_funding_disparity_between_primary_and_secondary_schools,_with_secondary_schools_facing_deficits_while_primary_schools_have_maintained_surpluses,"They also highlighted the funding disparity between primary and secondary schools, with secondary schools facing deficits while primary schools have maintained surpluses","concept","MISeD"
concept_Furthermore,_they_recognized_the_need_to_address_the_issue_of_secondary_school_teachers_and_leaders_leaving_the_profession_during_their_first_year,"Furthermore, they recognized the need to address the issue of secondary school teachers and leaders leaving the profession during their first year","concept","MISeD"
topic_recognition,"recognition","topic","MISeD"
concept_A_scroll_wheel_with_push-button_functionality,"A scroll wheel with push-button functionality","concept","MISeD"
concept_A_single_curved_design,"A single curved design","concept","MISeD"
concept_A_variety_of_color_options,_including_a_special_green_color,"A variety of color options, including a special green color","concept","MISeD"
concept_Single_curved_design,"Single curved design","concept","MISeD"
concept_Scroll_wheel_with_push-button_functionality,"Scroll wheel with push-button functionality","concept","MISeD"
concept_Advanced_printed_circuit_board_(PCB),"Advanced printed circuit board (PCB)","concept","MISeD"
concept_Single_battery,"Single battery","concept","MISeD"
concept_Titanium_casing,"Titanium casing","concept","MISeD"
concept_Variety_of_color_options,_including_a_special_green_color,"Variety of color options, including a special green color","concept","MISeD"
topic_Industrial,"Industrial","topic","MISeD"
topic_Designer,"Designer","topic","MISeD"
concept_They_decided_to_use_titanium_instead_of_rubber_for_the_remote’s_casing,"They decided to use titanium instead of rubber for the remote’s casing","concept","MISeD"
concept_They_finalized_the_use_of_a_single_battery_instead_of_two_smaller_batteries,"They finalized the use of a single battery instead of two smaller batteries","concept","MISeD"
concept_The_participants_confirmed_that_they_would_use_a_variety_of_color_options,_including_a_special_green_color,"The participants confirmed that they would use a variety of color options, including a special green color","concept","MISeD"
topic_How,"How","topic","MISeD"
topic_Marketing,"Marketing","topic","MISeD"
topic_Other,"Other","topic","MISeD"
concept_Experiences_with_remote_controls,"Experiences with remote controls","concept","MISeD"
concept_First_ideas_for_the_new_remote,"First ideas for the new remote","concept","MISeD"
concept_Possible_topics_for_discussion,"Possible topics for discussion","concept","MISeD"
concept_Industrial_Designer_(ID):_Responsible_for_thinking_about_the_working_design_of_the_remote_control,"Industrial Designer (ID): Responsible for thinking about the working design of the remote control","concept","MISeD"
concept_User_Interface_Designer_(UID):_Responsible_for_designing_the_technical_functions_of_the_remote_control_to_ensure_that_it_meets_the_desired_functionalities,"User Interface Designer (UID): Responsible for designing the technical functions of the remote control to ensure that it meets the desired functionalities","concept","MISeD"
concept_Marketing:_Responsible_for_specifying_the_user_requirements_for_the_remote_control,_outlining_what_the_users_expect_from_the_product,"Marketing: Responsible for specifying the user requirements for the remote control, outlining what the users expect from the product","concept","MISeD"
topic_Courtney,"Courtney","topic","MISeD"
speaker_Ms._Elizabeth_May_(SaanichGulf_Islands,_GP),"Ms. Elizabeth May (SaanichGulf Islands, GP)","person","MISeD"
speaker_Mr._Ken_Hardie_(FleetwoodPort_Kells,_Lib.),"Mr. Ken Hardie (FleetwoodPort Kells, Lib.)","person","MISeD"
speaker_Mr._Denis_Trudel_(LongueuilSaint-Hubert,_BQ),"Mr. Denis Trudel (LongueuilSaint-Hubert, BQ)","person","MISeD"
speaker_Mr._Kevin_Lamoureux_(Winnipeg_North,_Lib.),"Mr. Kevin Lamoureux (Winnipeg North, Lib.)","person","MISeD"
speaker_Mrs._Jenica_Atwin_(Fredericton,_GP),"Mrs. Jenica Atwin (Fredericton, GP)","person","MISeD"
speaker_Mr._Terry_Beech_(Burnaby_NorthSeymour,_Lib.),"Mr. Terry Beech (Burnaby NorthSeymour, Lib.)","person","MISeD"
speaker_Mr._Doug_Shipley_(BarrieSpringwaterOro-Medonte,_CPC),"Mr. Doug Shipley (BarrieSpringwaterOro-Medonte, CPC)","person","MISeD"
speaker_Ms._Kate_Young_(London_West,_Lib.),"Ms. Kate Young (London West, Lib.)","person","MISeD"
speaker_Mr._Stphane_Bergeron_(Montarville,_BQ),"Mr. Stphane Bergeron (Montarville, BQ)","person","MISeD"
speaker_Mr._James_Maloney_(EtobicokeLakeshore,_Lib.),"Mr. James Maloney (EtobicokeLakeshore, Lib.)","person","MISeD"
speaker_Hon._Alice_Wong_(Richmond_Centre,_CPC),"Hon. Alice Wong (Richmond Centre, CPC)","person","MISeD"
speaker_Ms._Pam_Damoff_(Oakville_NorthBurlington,_Lib.),"Ms. Pam Damoff (Oakville NorthBurlington, Lib.)","person","MISeD"
speaker_Ms._Kamal_Khera_(Brampton_West,_Lib.),"Ms. Kamal Khera (Brampton West, Lib.)","person","MISeD"
speaker_Mr._Dane_Lloyd_(Sturgeon_RiverParkland,_CPC),"Mr. Dane Lloyd (Sturgeon RiverParkland, CPC)","person","MISeD"
speaker_Ms._Yvonne_Jones_(Labrador,_Lib.),"Ms. Yvonne Jones (Labrador, Lib.)","person","MISeD"
speaker_Mr._Scott_Aitchison_(Parry_SoundMuskoka,_CPC),"Mr. Scott Aitchison (Parry SoundMuskoka, CPC)","person","MISeD"
speaker_Mr._Alistair_MacGregor_(CowichanMalahatLangford,_NDP),"Mr. Alistair MacGregor (CowichanMalahatLangford, NDP)","person","MISeD"
speaker_Hon._Steven_Blaney_(BellechasseLes_EtcheminsLvis,_CPC),"Hon. Steven Blaney (BellechasseLes EtcheminsLvis, CPC)","person","MISeD"
speaker_Mrs._Salma_Zahid_(Scarborough_Centre,_Lib.),"Mrs. Salma Zahid (Scarborough Centre, Lib.)","person","MISeD"
speaker_Right_Hon._Justin_Trudeau_(Papineau,_Lib.),"Right Hon. Justin Trudeau (Papineau, Lib.)","person","MISeD"
speaker_Mr._Ziad_Aboultaif_(Edmonton_Manning,_CPC),"Mr. Ziad Aboultaif (Edmonton Manning, CPC)","person","MISeD"
speaker_Ms._Elizabeth_May,"Ms. Elizabeth May","person","MISeD"
speaker_Mr._Garnett_Genuis,"Mr. Garnett Genuis","person","MISeD"
speaker_Mr._Jagmeet_Singh_(Burnaby_South,_NDP),"Mr. Jagmeet Singh (Burnaby South, NDP)","person","MISeD"
speaker_Mr._Jagmeet_Singh,"Mr. Jagmeet Singh","person","MISeD"
speaker_Mrs._Cathy_McLeod_(KamloopsThompsonCariboo,_CPC),"Mrs. Cathy McLeod (KamloopsThompsonCariboo, CPC)","person","MISeD"
