query_id,query,llm_model,embedding_model,sage_score,trad_score,better_system,sage_latency_s,trad_latency_s,similarity_f1,similarity_precision,similarity_recall,rouge1_sage,rouge1_trad,rouge2_sage,rouge2_trad,rougel_sage,rougel_trad,ablation_graph_layer,num_hops,requires_multi_hop,graph_path,graph_path_accuracy,saia_iterations,saia_success,multi_hop,multi_hop_success
18,When is the next team meeting scheduled?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,1.797581672668457,1.1005964279174805,0.55,0.6,0.6160714285714286,,,,,,,both,,,,,,,False,False
19,What are the main challenges mentioned in the project documentation?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,1.876798391342163,1.3920154571533203,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
20,How does the team handle task assignments?,llama-3.3-70b-versatile,multi-qa-mpnet-base-dot-v1,9,7,system1,3.960798501968384,19.952990770339966,0.55,0.6,0.7291666666666666,,,,,,,both,,,,,,,False,False
21,What are the main responsibilities of Alice Johnson?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,4.38178563117981,0.6390178203582764,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
22,Summarize the key points from the latest meeting notes,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,1.542309045791626,3.422386407852173,0.55,0.6,0.6136363636363636,,,,,,,both,,,,,,,False,False
23,What projects is Bob Smith working on?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,4.988767147064209,1.5358390808105469,0.55,0.6,0.75,,,,,,,both,,,,,,,False,False
24,What are the deadlines for the current sprint?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,2.9192771911621094,0.7639515399932861,0.55,0.4,0.8,,,,,,,both,,,,,,,False,False
25,Who is responsible for the data analysis task?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,3.161099433898926,1.4251530170440674,0.55,0.5607476635514018,0.8,,,,,,,both,,,,,,,False,False
26,What is the relationship between Carol Williams and David Lee?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,1.7101178169250488,0.64300537109375,0.55,0.6,0.7124999999999999,,,,,,,both,,,,,,,False,False
27,What are the key findings from the latest data analysis?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,4.77901554107666,0.79994797706604,0.55,0.6,0.75,,,,,,,both,,,,,,,False,False
28,When is the next team meeting scheduled?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,3.2377820014953613,0.7375993728637695,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
29,What are the main challenges mentioned in the project documentation?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,1.6054835319519043,8.802384853363037,0.55,0.6,0.6486486486486487,,,,,,,both,,,,,,,False,False
30,How does the team handle task assignments?,llama-3.1-8b-instant,all-mpnet-base-v2,9,7,system1,7.295982599258423,15.188921451568604,0.55,0.6,0.45789473684210524,,,,,,,both,,,,,,,False,False
31,What are the main responsibilities of Alice Johnson?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,4.098642587661743,4.28823709487915,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
32,Summarize the key points from the latest meeting notes,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,12.522898197174072,2.6131720542907715,0.55,0.6,0.6136363636363636,,,,,,,both,,,,,,,False,False
33,What projects is Bob Smith working on?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,2.5201942920684814,0.9992311000823975,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
34,What are the deadlines for the current sprint?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,2.56056547164917,2.5826680660247803,0.55,0.36407766990291257,0.8,,,,,,,both,,,,,,,False,False
35,Who is responsible for the data analysis task?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,1.745908260345459,0.7489194869995117,0.55,0.5120481927710843,0.8,,,,,,,both,,,,,,,False,False
36,What is the relationship between Carol Williams and David Lee?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,1.3606197834014893,0.6140499114990234,0.55,0.6,0.7124999999999999,,,,,,,both,,,,,,,False,False
37,What are the key findings from the latest data analysis?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,1.345855951309204,0.8041012287139893,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
38,When is the next team meeting scheduled?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,1.5505759716033936,3.91306471824646,0.55,0.6,0.8,,,,,,,both,,,,,,,False,False
39,What are the main challenges mentioned in the project documentation?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,3.924384355545044,12.056065082550049,0.55,0.6,0.611111111111111,,,,,,,both,,,,,,,False,False
40,How does the team handle task assignments?,llama-3.1-8b-instant,multi-qa-mpnet-base-dot-v1,9,7,system1,6.075503587722778,15.136698722839355,0.55,0.6,0.5886075949367089,,,,,,,both,,,,,,,False,False
